datetime,pickups,returns,net_flow,station_id,station_name,date,hour,minute,op_date,daily_cumulative
2026-06-03 05:15:00+00:00,0.0,1.0,1.0,HB106,River St & Newark St,2026-06-03,5,15,2026-06-03,1.0
2026-06-03 05:30:00+00:00,0.0,1.0,1.0,HB106,River St & Newark St,2026-06-03,5,30,2026-06-03,2.0
2026-06-03 05:45:00+00:00,0.0,2.0,2.0,HB106,River St & Newark St,2026-06-03,5,45,2026-06-03,4.0
2026-06-03 06:00:00+00:00,0.0,2.0,2.0,HB106,River St & Newark St,2026-06-03,6,0,2026-06-03,6.0
2026-06-03 06:15:00+00:00,0.0,4.0,4.0,HB106,River St & Newark St,2026-06-03,6,15,2026-06-03,10.0
2026-06-03 06:30:00+00:00,0.0,2.0,2.0,HB106,River St & Newark St,2026-06-03,6,30,2026-06-03,12.0
2026-06-03 06:45:00+00:00,3.0,2.0,-1.0,HB106,River St & Newark St,2026-06-03,6,45,2026-06-03,11.0
2026-06-03 07:00:00+00:00,1.0,4.0,3.0,HB106,River St & Newark St,2026-06-03,7,0,2026-06-03,14.0
2026-06-03 07:15:00+00:00,1.0,12.0,11.0,HB106,River St & Newark St,2026-06-03,7,15,2026-06-03,25.0
2026-06-03 07:30:00+00:00,2.0,12.0,10.0,HB106,River St & Newark St,2026-06-03,7,30,2026-06-03,35.0
2026-06-03 07:45:00+00:00,1.0,5.0,4.0,HB106,River St & Newark St,2026-06-03,7,45,2026-06-03,39.0
2026-06-03 08:00:00+00:00,1.0,12.0,11.0,HB106,River St & Newark St,2026-06-03,8,0,2026-06-03,50.0
2026-06-03 08:15:00+00:00,0.0,14.0,14.0,HB106,River St & Newark St,2026-06-03,8,15,2026-06-03,64.0
2026-06-03 08:30:00+00:00,1.0,14.0,13.0,HB106,River St & Newark St,2026-06-03,8,30,2026-06-03,77.0
2026-06-03 08:45:00+00:00,1.0,14.0,13.0,HB106,River St & Newark St,2026-06-03,8,45,2026-06-03,90.0
2026-06-03 09:00:00+00:00,3.0,3.0,0.0,HB106,River St & Newark St,2026-06-03,9,0,2026-06-03,90.0
2026-06-03 09:15:00+00:00,1.0,3.0,2.0,HB106,River St & Newark St,2026-06-03,9,15,2026-06-03,92.0
2026-06-03 09:30:00+00:00,0.0,2.0,2.0,HB106,River St & Newark St,2026-06-03,9,30,2026-06-03,94.0
2026-06-03 09:45:00+00:00,2.0,1.0,-1.0,HB106,River St & Newark St,2026-06-03,9,45,2026-06-03,93.0
2026-06-03 10:00:00+00:00,0.0,3.0,3.0,HB106,River St & Newark St,2026-06-03,10,0,2026-06-03,96.0
2026-06-03 10:15:00+00:00,1.0,1.0,0.0,HB106,River St & Newark St,2026-06-03,10,15,2026-06-03,96.0
2026-06-03 10:30:00+00:00,0.0,2.0,2.0,HB106,River St & Newark St,2026-06-03,10,30,2026-06-03,98.0
